TrialIndex,StimType,Order,Dissimilarity,Displacement,Distortion,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate2,Ycoordinate2,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,FILLER
1,ERP,1,0,0,0,8,1,,,,300,0,176.3355757,242.7050983,-136.1971499,267.3019573,-300,3.67E-14,0
2,ERP,1,0,0,0,6,1,,,,299.5888604,15.70078687,-176.3355757,-242.7050983,92.70509831,-285.3169549,-299.5888604,-15.70078687,0
3,OLP,1,4,0,4,2,1,,,,298.3565686,31.35853898,-46.93033951,296.3065022,1.84E-14,300,-298.3565686,-31.35853898,0
4,ERP,1,0,0,0,2,1,,,,296.3065022,46.93033951,-233.1437884,188.7961173,-5.51E-14,-300,-296.3065022,-46.93033951,0
5,OLP,1,2,0,2,2,1,,,,293.4442802,62.37350725,15.70078687,-299.5888604,-92.70509831,285.3169549,-293.4442802,-62.37350725,0
6,OLP,2,4,0,4,0,1,,,,298.3565686,31.35853898,-46.93033951,296.3065022,1.84E-14,300,-298.3565686,-31.35853898,0
7,ERP,2,0,0,0,0,1,,,,296.3065022,46.93033951,-233.1437884,188.7961173,-5.51E-14,-300,-296.3065022,-46.93033951,0
8,OLP,2,2,0,2,0,1,,,,293.4442802,62.37350725,15.70078687,-299.5888604,-92.70509831,285.3169549,-293.4442802,-62.37350725,0
9,ERP,2,0,0,0,0,1,,,,299.5888604,15.70078687,-176.3355757,-242.7050983,92.70509831,-285.3169549,-299.5888604,-15.70078687,0
10,ERP,2,0,0,0,0,1,,,,300,0,176.3355757,242.7050983,-136.1971499,267.3019573,-300,3.67E-14,0
11,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
12,LLP,1,4,4,0,4,1,,,,285.3169549,92.70509831,-77.64571353,-289.7777479,-107.5103849,-280.0741279,-285.3169549,-92.70509831,0
13,ERP,1,0,0,0,6,1,,,,280.0741279,107.5103849,267.3019573,-136.1971499,122.0209929,-274.0636373,-280.0741279,-107.5103849,0
14,ERP,1,0,0,0,8,1,,,,274.0636373,122.0209929,77.64571353,289.7777479,-163.3917105,251.6011704,-274.0636373,-122.0209929,0
15,OLP,1,2,0,2,2,1,,,,267.3019573,136.1971499,62.37350725,-293.4442802,77.64571353,289.7777479,-267.3019573,-136.1971499,0
16,LLP,1,4,4,0,8,1,,,,259.8076211,150,-77.64571353,-289.7777479,31.35853898,-298.3565686,-259.8076211,-150,0
17,LLP,2,4,4,0,0,1,,,,285.3169549,92.70509831,-77.64571353,-289.7777479,-107.5103849,-280.0741279,-285.3169549,-92.70509831,0
18,OLP,2,2,0,2,0,1,,,,267.3019573,136.1971499,62.37350725,-293.4442802,77.64571353,289.7777479,-267.3019573,-136.1971499,0
19,OLP,1,4,0,4,4,1,,,,251.6011704,163.3917105,-212.1320344,212.1320344,-296.3065022,46.93033951,-251.6011704,-163.3917105,0
20,ERP,2,0,0,0,0,1,,,,280.0741279,107.5103849,267.3019573,-136.1971499,122.0209929,-274.0636373,-280.0741279,-107.5103849,0
21,LLP,1,4,4,0,8,1,,,,242.7050983,176.3355757,-280.0741279,107.5103849,46.93033951,-296.3065022,-242.7050983,-176.3355757,0
22,LLP,1,2,2,0,6,1,,,,233.1437884,188.7961173,233.1437884,-188.7961173,242.7050983,-176.3355757,-233.1437884,-188.7961173,0
23,ERP,2,0,0,0,0,1,,,,274.0636373,122.0209929,77.64571353,289.7777479,-163.3917105,251.6011704,-274.0636373,-122.0209929,0
24,OLP,2,4,0,4,0,1,,,,251.6011704,163.3917105,-212.1320344,212.1320344,-296.3065022,46.93033951,-251.6011704,-163.3917105,0
25,LLP,2,4,4,0,0,1,,,,259.8076211,150,-77.64571353,-289.7777479,31.35853898,-298.3565686,-259.8076211,-150,0
26,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
27,LLP,1,3,3,0,4,1,,,,222.9434476,200.7391819,-242.7050983,176.3355757,150,-259.8076211,-222.9434476,-200.7391819,0
28,ERP,1,0,0,0,2,1,,,,212.1320344,212.1320344,31.35853898,-298.3565686,-280.0741279,107.5103849,-212.1320344,-212.1320344,0
29,LLP,2,2,2,0,0,1,,,,233.1437884,188.7961173,233.1437884,-188.7961173,242.7050983,-176.3355757,-233.1437884,-188.7961173,0
30,LLP,2,4,4,0,0,1,,,,242.7050983,176.3355757,-280.0741279,107.5103849,46.93033951,-296.3065022,-242.7050983,-176.3355757,0
31,ERP,2,0,0,0,0,1,,,,212.1320344,212.1320344,31.35853898,-298.3565686,-280.0741279,107.5103849,-212.1320344,-212.1320344,0
32,LLP,2,3,3,0,0,1,,,,222.9434476,200.7391819,-242.7050983,176.3355757,150,-259.8076211,-222.9434476,-200.7391819,0
33,ERP,1,0,0,0,8,1,,,,200.7391819,222.9434476,-200.7391819,222.9434476,-298.3565686,-31.35853898,-200.7391819,-222.9434476,0
34,LLP,1,2,2,0,2,1,,,,188.7961173,233.1437884,-176.3355757,242.7050983,-188.7961173,233.1437884,-188.7961173,-233.1437884,0
35,OLP,1,1,0,1,8,1,,,,176.3355757,242.7050983,-293.4442802,-62.37350725,-299.5888604,-15.70078687,-176.3355757,-242.7050983,0
36,ERP,1,0,0,0,6,1,,,,163.3917105,251.6011704,-293.4442802,-62.37350725,-289.7777479,-77.64571353,-163.3917105,-251.6011704,0
37,LLP,2,2,2,0,0,1,,,,188.7961173,233.1437884,-176.3355757,242.7050983,-188.7961173,233.1437884,-188.7961173,-233.1437884,0
38,LLP,1,2,2,0,8,1,,,,150,259.8076211,289.7777479,-77.64571353,296.3065022,-46.93033951,-150,-259.8076211,0
39,ERP,1,0,0,0,6,1,,,,136.1971499,267.3019573,-285.3169549,92.70509831,-289.7777479,77.64571353,-136.1971499,-267.3019573,0
40,LLP,1,1,1,0,8,1,,,,122.0209929,274.0636373,298.3565686,31.35853898,280.0741279,107.5103849,-122.0209929,-274.0636373,0
41,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
42,ERP,2,0,0,0,0,1,,,,200.7391819,222.9434476,-200.7391819,222.9434476,-298.3565686,-31.35853898,-200.7391819,-222.9434476,0
43,ERP,2,0,0,0,0,1,,,,163.3917105,251.6011704,-293.4442802,-62.37350725,-289.7777479,-77.64571353,-163.3917105,-251.6011704,0
44,OLP,2,1,0,1,0,1,,,,176.3355757,242.7050983,-293.4442802,-62.37350725,-299.5888604,-15.70078687,-176.3355757,-242.7050983,0
45,LLP,1,1,1,0,4,1,,,,107.5103849,280.0741279,280.0741279,107.5103849,-200.7391819,222.9434476,-107.5103849,-280.0741279,0
46,ERP,2,0,0,0,0,1,,,,136.1971499,267.3019573,-285.3169549,92.70509831,-289.7777479,77.64571353,-136.1971499,-267.3019573,0
47,LLP,2,2,2,0,0,1,,,,150,259.8076211,289.7777479,-77.64571353,296.3065022,-46.93033951,-150,-259.8076211,0
48,OLP,1,3,0,3,4,1,,,,92.70509831,285.3169549,-293.4442802,62.37350725,-298.3565686,31.35853898,-92.70509831,-285.3169549,0
49,LLP,2,1,1,0,0,1,,,,122.0209929,274.0636373,298.3565686,31.35853898,280.0741279,107.5103849,-122.0209929,-274.0636373,0
50,LLP,2,1,1,0,0,1,,,,107.5103849,280.0741279,280.0741279,107.5103849,-200.7391819,222.9434476,-107.5103849,-280.0741279,0
51,OLP,1,1,0,1,2,1,,,,77.64571353,289.7777479,-293.4442802,62.37350725,267.3019573,136.1971499,-77.64571353,-289.7777479,0
52,ERP,1,0,0,0,6,1,,,,62.37350725,293.4442802,-259.8076211,150,-293.4442802,-62.37350725,-62.37350725,-293.4442802,0
53,OLP,2,3,0,3,0,1,,,,92.70509831,285.3169549,-293.4442802,62.37350725,-298.3565686,31.35853898,-92.70509831,-285.3169549,0
54,OLP,2,1,0,1,0,1,,,,77.64571353,289.7777479,-293.4442802,62.37350725,267.3019573,136.1971499,-77.64571353,-289.7777479,0
55,OLP,1,1,0,1,8,1,,,,46.93033951,296.3065022,-242.7050983,176.3355757,200.7391819,-222.9434476,-46.93033951,-296.3065022,0
56,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
57,LLP,1,4,4,0,2,1,,,,31.35853898,298.3565686,-242.7050983,-176.3355757,222.9434476,-200.7391819,-31.35853898,-298.3565686,0
58,OLP,1,3,0,3,2,1,,,,15.70078687,299.5888604,-233.1437884,-188.7961173,298.3565686,-31.35853898,-15.70078687,-299.5888604,0
59,ERP,2,0,0,0,0,1,,,,62.37350725,293.4442802,-259.8076211,150,-293.4442802,-62.37350725,-62.37350725,-293.4442802,0
60,LLP,2,4,4,0,0,1,,,,31.35853898,298.3565686,-242.7050983,-176.3355757,222.9434476,-200.7391819,-31.35853898,-298.3565686,0
61,OLP,2,3,0,3,0,1,,,,15.70078687,299.5888604,-233.1437884,-188.7961173,298.3565686,-31.35853898,-15.70078687,-299.5888604,0
62,LLP,1,2,2,0,2,1,,,,1.84E-14,300,-285.3169549,92.70509831,280.0741279,107.5103849,-5.51E-14,-300,0
63,ERP,1,0,0,0,6,1,,,,-15.70078687,299.5888604,-267.3019573,136.1971499,251.6011704,-163.3917105,15.70078687,-299.5888604,0
64,OLP,2,1,0,1,0,1,,,,46.93033951,296.3065022,-242.7050983,176.3355757,200.7391819,-222.9434476,-46.93033951,-296.3065022,0
65,LLP,2,2,2,0,0,1,,,,1.84E-14,300,-285.3169549,92.70509831,280.0741279,107.5103849,-5.51E-14,-300,0
66,OLP,1,2,0,2,8,1,,,,-31.35853898,298.3565686,274.0636373,122.0209929,-285.3169549,92.70509831,31.35853898,-298.3565686,0
67,ERP,1,0,0,0,6,1,,,,-46.93033951,296.3065022,259.8076211,150,-285.3169549,-92.70509831,46.93033951,-296.3065022,0
68,LLP,1,1,1,0,8,1,,,,-62.37350725,293.4442802,-285.3169549,92.70509831,-289.7777479,77.64571353,62.37350725,-293.4442802,0
69,ERP,1,0,0,0,8,1,,,,-77.64571353,289.7777479,-188.7961173,-233.1437884,-259.8076211,-150,77.64571353,-289.7777479,0
70,ERP,2,0,0,0,0,1,,,,-15.70078687,299.5888604,-267.3019573,136.1971499,251.6011704,-163.3917105,15.70078687,-299.5888604,0
71,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
72,ERP,1,0,0,0,8,1,,,,-92.70509831,285.3169549,-296.3065022,-46.93033951,-300,3.67E-14,92.70509831,-285.3169549,0
73,OLP,1,4,0,4,2,1,,,,-107.5103849,280.0741279,299.5888604,-15.70078687,293.4442802,62.37350725,107.5103849,-280.0741279,0
74,ERP,2,0,0,0,0,1,,,,-46.93033951,296.3065022,259.8076211,150,-285.3169549,-92.70509831,46.93033951,-296.3065022,0
75,OLP,2,2,0,2,0,1,,,,-31.35853898,298.3565686,274.0636373,122.0209929,-285.3169549,92.70509831,31.35853898,-298.3565686,0
76,OLP,2,4,0,4,0,1,,,,-107.5103849,280.0741279,299.5888604,-15.70078687,293.4442802,62.37350725,107.5103849,-280.0741279,0
77,LLP,2,1,1,0,0,1,,,,-62.37350725,293.4442802,-285.3169549,92.70509831,-289.7777479,77.64571353,62.37350725,-293.4442802,0
78,ERP,2,0,0,0,0,1,,,,-77.64571353,289.7777479,-188.7961173,-233.1437884,-259.8076211,-150,77.64571353,-289.7777479,0
79,OLP,1,2,0,2,8,1,,,,-122.0209929,274.0636373,-163.3917105,-251.6011704,274.0636373,122.0209929,122.0209929,-274.0636373,0
80,LLP,1,4,4,0,8,1,,,,-136.1971499,267.3019573,-150,-259.8076211,-122.0209929,-274.0636373,136.1971499,-267.3019573,0
81,ERP,2,0,0,0,0,1,,,,-92.70509831,285.3169549,-296.3065022,-46.93033951,-300,3.67E-14,92.70509831,-285.3169549,0
82,LLP,1,4,4,0,8,1,,,,-150,259.8076211,-77.64571353,-289.7777479,299.5888604,15.70078687,150,-259.8076211,0
83,OLP,1,2,0,2,6,1,,,,-163.3917105,251.6011704,92.70509831,285.3169549,-285.3169549,-92.70509831,163.3917105,-251.6011704,0
84,ERP,1,0,0,0,2,1,,,,-176.3355757,242.7050983,259.8076211,150,299.5888604,15.70078687,176.3355757,-242.7050983,0
85,LLP,1,3,3,0,6,1,,,,-188.7961173,233.1437884,259.8076211,150,274.0636373,122.0209929,188.7961173,-233.1437884,0
86,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
87,ERP,2,0,0,0,0,1,,,,-176.3355757,242.7050983,259.8076211,150,299.5888604,15.70078687,176.3355757,-242.7050983,0
88,OLP,2,2,0,2,0,1,,,,-122.0209929,274.0636373,-163.3917105,-251.6011704,274.0636373,122.0209929,122.0209929,-274.0636373,0
89,LLP,2,4,4,0,0,1,,,,-136.1971499,267.3019573,-150,-259.8076211,-122.0209929,-274.0636373,136.1971499,-267.3019573,0
90,OLP,2,2,0,2,0,1,,,,-163.3917105,251.6011704,92.70509831,285.3169549,-285.3169549,-92.70509831,163.3917105,-251.6011704,0
91,LLP,2,4,4,0,0,1,,,,-150,259.8076211,-77.64571353,-289.7777479,299.5888604,15.70078687,150,-259.8076211,0
92,LLP,2,3,3,0,0,1,,,,-188.7961173,233.1437884,259.8076211,150,274.0636373,122.0209929,188.7961173,-233.1437884,0
93,LLP,1,3,3,0,4,1,,,,-200.7391819,222.9434476,285.3169549,92.70509831,274.0636373,122.0209929,200.7391819,-222.9434476,0
94,OLP,1,3,0,3,2,1,,,,-212.1320344,212.1320344,-122.0209929,-274.0636373,-107.5103849,-280.0741279,212.1320344,-212.1320344,0
95,ERP,1,0,0,0,6,1,,,,-222.9434476,200.7391819,-212.1320344,-212.1320344,107.5103849,280.0741279,222.9434476,-200.7391819,0
96,OLP,1,2,0,2,6,1,,,,-233.1437884,188.7961173,-163.3917105,-251.6011704,298.3565686,31.35853898,233.1437884,-188.7961173,0
97,OLP,2,3,0,3,0,1,,,,-212.1320344,212.1320344,-122.0209929,-274.0636373,-107.5103849,-280.0741279,212.1320344,-212.1320344,0
98,LLP,2,3,3,0,0,1,,,,-200.7391819,222.9434476,285.3169549,92.70509831,274.0636373,122.0209929,200.7391819,-222.9434476,0
99,LLP,1,3,3,0,8,1,,,,-242.7050983,176.3355757,259.8076211,150,-77.64571353,-289.7777479,242.7050983,-176.3355757,0
100,LLP,1,2,2,0,6,1,,,,-251.6011704,163.3917105,62.37350725,293.4442802,-222.9434476,-200.7391819,251.6011704,-163.3917105,0
101,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
102,ERP,2,0,0,0,0,1,,,,-222.9434476,200.7391819,-212.1320344,-212.1320344,107.5103849,280.0741279,222.9434476,-200.7391819,0
103,OLP,2,2,0,2,0,1,,,,-233.1437884,188.7961173,-163.3917105,-251.6011704,298.3565686,31.35853898,233.1437884,-188.7961173,0
104,OLP,1,4,0,4,8,1,,,,-259.8076211,150,-92.70509831,-285.3169549,-242.7050983,-176.3355757,259.8076211,-150,0
105,LLP,1,3,3,0,8,1,,,,-267.3019573,136.1971499,-92.70509831,-285.3169549,-77.64571353,-289.7777479,267.3019573,-136.1971499,0
106,LLP,1,2,2,0,2,1,,,,-274.0636373,122.0209929,-163.3917105,-251.6011704,-150,-259.8076211,274.0636373,-122.0209929,0
107,LLP,2,2,2,0,0,1,,,,-251.6011704,163.3917105,62.37350725,293.4442802,-222.9434476,-200.7391819,251.6011704,-163.3917105,0
108,LLP,2,3,3,0,0,1,,,,-242.7050983,176.3355757,259.8076211,150,-77.64571353,-289.7777479,242.7050983,-176.3355757,0
109,LLP,2,2,2,0,0,1,,,,-274.0636373,122.0209929,-163.3917105,-251.6011704,-150,-259.8076211,274.0636373,-122.0209929,0
110,ERP,1,0,0,0,8,1,,,,-280.0741279,107.5103849,-5.51E-14,-300,251.6011704,163.3917105,280.0741279,-107.5103849,0
111,OLP,1,3,0,3,8,1,,,,-285.3169549,92.70509831,163.3917105,251.6011704,-62.37350725,-293.4442802,285.3169549,-92.70509831,0
112,ERP,1,0,0,0,8,1,,,,-289.7777479,77.64571353,136.1971499,267.3019573,-200.7391819,-222.9434476,289.7777479,-77.64571353,0
113,OLP,2,4,0,4,0,1,,,,-259.8076211,150,-92.70509831,-285.3169549,-242.7050983,-176.3355757,259.8076211,-150,0
114,LLP,2,3,3,0,0,1,,,,-267.3019573,136.1971499,-92.70509831,-285.3169549,-77.64571353,-289.7777479,267.3019573,-136.1971499,0
115,LLP,1,1,1,0,6,1,,,,-293.4442802,62.37350725,-150,259.8076211,-233.1437884,-188.7961173,293.4442802,-62.37350725,0
116,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
117,ERP,1,0,0,0,6,1,,,,-296.3065022,46.93033951,62.37350725,-293.4442802,-212.1320344,-212.1320344,296.3065022,-46.93033951,0
118,OLP,1,1,0,1,8,1,,,,-298.3565686,31.35853898,92.70509831,-285.3169549,77.64571353,289.7777479,298.3565686,-31.35853898,0
119,ERP,2,0,0,0,0,1,,,,-280.0741279,107.5103849,-5.51E-14,-300,251.6011704,163.3917105,280.0741279,-107.5103849,0
120,OLP,2,3,0,3,0,1,,,,-285.3169549,92.70509831,163.3917105,251.6011704,-62.37350725,-293.4442802,285.3169549,-92.70509831,0
121,ERP,2,0,0,0,0,1,,,,-289.7777479,77.64571353,136.1971499,267.3019573,-200.7391819,-222.9434476,289.7777479,-77.64571353,0
122,LLP,2,1,1,0,0,1,,,,-293.4442802,62.37350725,-150,259.8076211,-233.1437884,-188.7961173,293.4442802,-62.37350725,0
123,ERP,1,0,0,0,8,1,,,,-299.5888604,15.70078687,222.9434476,200.7391819,200.7391819,-222.9434476,299.5888604,-15.70078687,0
124,ERP,2,0,0,0,0,1,,,,-296.3065022,46.93033951,62.37350725,-293.4442802,-212.1320344,-212.1320344,296.3065022,-46.93033951,0
125,OLP,1,3,0,3,2,1,,,,-300,3.67E-14,-62.37350725,-293.4442802,222.9434476,200.7391819,300,-7.35E-14,0
126,ERP,1,0,0,0,8,1,,,,-299.5888604,-15.70078687,-136.1971499,267.3019573,233.1437884,-188.7961173,300,0,0
127,OLP,2,1,0,1,0,1,,,,-298.3565686,31.35853898,92.70509831,-285.3169549,77.64571353,289.7777479,298.3565686,-31.35853898,0
