TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,rec_practice_blocks.thisRepN,rec_practice_blocks.thisTrialN,rec_practice_blocks.thisN,rec_practice_blocks.thisIndex,rec_runs.thisRepN,rec_runs.thisTrialN,rec_runs.thisN,rec_runs.thisIndex,rec_blocks.thisRepN,rec_blocks.thisTrialN,rec_blocks.thisN,rec_blocks.thisIndex,rec_trials.thisRepN,rec_trials.thisTrialN,rec_trials.thisN,rec_trials.thisIndex,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.rt,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions_1_continue.started,rec_instructions_1_continue.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instructions_2_continue.started,rec_instructions_2_continue.stopped,rec_instruction_2_title.started,rec_instruction_2_title.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_3_continue.started,rec_instructions_3_continue.stopped,rec_instruction_3_title.started,rec_instruction_3_title.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,rec_instructions_4_continue.started,rec_instructions_4_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,trigger_time,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,triggers,start_rec_run_text.started,start_rec_run_text.stopped,start_rec_block_text.started,start_rec_block_text.stopped,loop_start_time,fx_start_time,rec_fx_interior.started,rec_fx_interior.stopped,rec_fx_cross.started,rec_fx_cross.stopped,rec_fx_key.keys,rec_fx_key.started,rec_fx_key.stopped,rec_fx_text_block.started,rec_fx_text_block.stopped,rec_fx_instructions_text.started,rec_fx_instructions_text.stopped,trial_start_time,stimulus_start_time,rec_trial_interior.started,rec_trial_interior.stopped,rec_trial_main_image.started,rec_trial_main_image.stopped,rec_trial_key.keys,rec_trial_key.rt,rec_trial_key.started,rec_trial_key.stopped,rec_trial_text_block.started,rec_trial_text_block.stopped,rec_trial_instructions_text.started,rec_trial_instructions_text.stopped,rec_fx_key.rt,end_rec_run_text.started,end_rec_run_text.stopped,end_rec_run_key.keys,end_rec_run_key.rt,end_rec_run_key.started,end_rec_run_key.stopped,end_experiment_text.started,end_experiment_text.stopped,end_experiment_key.keys,end_experiment_key.rt,end_experiment_key.started,end_experiment_key.stopped,ID,practice,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15790879999986,None,14.10550669999975,None,d,1.407299299999977,19.07205089999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07205089999934,None,20.505347599999368,None,d,3.230825800000275,25.488560799999505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.488560799999505,None,20.505347599999368,None,28.73848259999977,None,d,5.64557909999985,33.721731499999805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.721731499999805,None,28.73848259999977,None,39.388242799999716,None,d,1.0117870999993102,40.37156329999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.37156329999925,None,41.40483959999983,None,42.40481499999987,None,d,3.4991438000006383,43.3881238999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3881238999993,None,36.45720650000021,46.9047458999994,None,s,1.62258490000022,46.9047458999994,None,0.0023660999995627208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2483503999992536,48.554660499999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
1,500,None,1,OBJ,FOIL,stimuli/fractals/131b.jpg,0.234375,-0.1388888888888889,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.784768699999404,,,49.554640199999994,None,2.5370076999997764,2.5499740999994174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
1,500,None,1,OBJ,FOIL,stimuli/fractals/131b.jpg,0.234375,-0.1388888888888889,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3185057000000597,,,,,,,51.08794200000011,None,51.08794200000011,None,None,51.08794200000011,None,51.08794200000011,None,51.08794200000011,None,3.09206069999982,3.116965799999889,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
1,500,None,1,OBJ,FOIL,stimuli/fractals/131b.jpg,0.234375,-0.1388888888888889,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.65458699999999,None,51.65458699999999,None,c,1.192925400000604,51.65458699999999,None,51.65458699999999,None,51.65458699999999,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
2,1000,None,1,OBJ,LURE,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,1.0,OLP,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.066980799999328,55.604492800000116,None,55.604492800000116,None,None,55.604492800000116,None,55.604492800000116,None,55.604492800000116,None,8.086559399999715,8.116173899999922,56.65460359999997,None,56.65460359999997,None,b,1.8168401999992057,56.65460359999997,None,56.65460359999997,None,56.65460359999997,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
3,2000,None,1,OBJ,TARGET,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,2.0,OLP,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.083118499999728,60.62116489999971,None,60.62116489999971,None,None,60.62116489999971,None,60.62116489999971,None,60.62116489999971,None,14.087296400000014,14.117152299999361,62.654450399999405,None,62.654450399999405,None,c,3.888938099999905,62.654450399999405,None,62.654450399999405,None,62.654450399999405,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
4,3000,None,1,OBJ,FOIL,stimuli/fractals/5b.jpg,-0.390625,0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.63767769999959,None,19.607695199999398,19.633123599999635,68.17105050000009,None,68.17105050000009,None,c,68.17105050000009,None,68.17105050000009,None,68.17105050000009,None,22.644663999999466,22.666132699999253,71.2042520999994,None,71.2042520999994,None,None,,71.2042520999994,None,71.2042520999994,None,71.2042520999994,None,0.708443399999851,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
5,2000,None,1,OBJ,TARGET,stimuli/fractals/6a.jpg,0.390625,-0.4166666666666667,12.0,OLP,stimuli/fractals/6a.jpg,0.390625,-0.4166666666666667,stimuli/fractals/6a.jpg,stimuli/fractals/6c.jpg,stimuli/fractals/6b.jpg,0.390625,-0.4166666666666667,0.390625,-0.1388888888888889,0.234375,-0.4166666666666667,-0.390625,0.4166666666666667,,,,,0,0,0,0,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.650119999999333,75.1874758999993,None,75.1874758999993,None,b,75.1874758999993,None,75.1874758999993,None,75.1874758999993,None,28.674232299999858,28.70010269999966,77.23743060000015,None,77.23743060000015,None,None,,77.23743060000015,None,77.23743060000015,None,77.23743060000015,None,0.4118759000002683,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
6,1000,None,1,OBJ,FOIL,stimuli/fractals/132b.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.66615229999934,81.20399469999938,None,81.20399469999938,None,None,81.20399469999938,None,81.20399469999938,None,81.20399469999938,None,33.663208199999644,33.6831259999999,82.22064249999949,None,82.22064249999949,None,None,,82.22064249999949,None,82.22064249999949,None,82.22064249999949,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.00633819999985,93.75368639999942,None,s,6.333548200000223,93.75368639999942,None,0.002621200000248791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.23720309999953,None,right,7.490197799999805,86.23720309999953,None,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
7,3000,None,1,OBJ,TARGET,stimuli/fractals/26b.jpg,-0.234375,0.4166666666666667,18.0,OLP,stimuli/fractals/26b.jpg,-0.234375,0.4166666666666667,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,-0.234375,0.4166666666666667,-0.234375,0.1388888888888889,-0.078125,0.4166666666666667,0.390625,-0.4166666666666667,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.716436099999555,100.10353069999928,None,101.1035579999998,None,2.5186043000003338,2.5500189000003957,102.63704849999976,None,102.63704849999976,None,c,102.63704849999976,None,102.63704849999976,None,102.63704849999976,None,5.563950499999919,5.582979400000113,,,,,,,,,,,,,0.17818090000037046,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
7,3000,None,1,OBJ,TARGET,stimuli/fractals/26b.jpg,-0.234375,0.4166666666666667,18.0,OLP,stimuli/fractals/26b.jpg,-0.234375,0.4166666666666667,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,-0.234375,0.4166666666666667,-0.234375,0.1388888888888889,-0.078125,0.4166666666666667,0.390625,-0.4166666666666667,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.466453299999557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
7,3000,None,1,OBJ,TARGET,stimuli/fractals/26b.jpg,-0.234375,0.4166666666666667,18.0,OLP,stimuli/fractals/26b.jpg,-0.234375,0.4166666666666667,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,-0.234375,0.4166666666666667,-0.234375,0.1388888888888889,-0.078125,0.4166666666666667,0.390625,-0.4166666666666667,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.66994579999937,None,105.66994579999937,None,None,,105.66994579999937,None,105.66994579999937,None,105.66994579999937,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
8,1000,None,1,OBJ,TARGET,stimuli/fractals/4a.jpg,0.078125,0.4166666666666667,4.0,ERP,stimuli/fractals/4a.jpg,0.078125,0.4166666666666667,stimuli/fractals/4a.jpg,stimuli/fractals/4b.jpg,stimuli/fractals/4c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.667724799999633,,,,,,9.565901099999792,109.65317520000008,None,109.65317520000008,None,None,109.65317520000008,None,109.65317520000008,None,109.65317520000008,None,10.594492000000173,10.616124600000148,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
8,1000,None,1,OBJ,TARGET,stimuli/fractals/4a.jpg,0.078125,0.4166666666666667,4.0,ERP,stimuli/fractals/4a.jpg,0.078125,0.4166666666666667,stimuli/fractals/4a.jpg,stimuli/fractals/4b.jpg,stimuli/fractals/4c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.70315309999933,None,110.70315309999933,None,None,,110.70315309999933,None,110.70315309999933,None,110.70315309999933,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
9,2000,None,1,OBJ,TARGET,stimuli/fractals/7c.jpg,0.390625,0.1388888888888889,8.0,ERP,stimuli/fractals/7c.jpg,0.390625,0.1388888888888889,stimuli/fractals/7c.jpg,stimuli/fractals/7b.jpg,stimuli/fractals/7a.jpg,0.390625,0.1388888888888889,0.390625,-0.1388888888888889,0.390625,0.4166666666666667,-0.234375,0.4166666666666667,,,,,1,0,1,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.099581200000102,,,,,,14.583124900000257,114.6697409999997,None,114.6697409999997,None,None,114.6697409999997,None,114.6697409999997,None,114.6697409999997,None,16.59642900000017,16.616132600000128,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
9,2000,None,1,OBJ,TARGET,stimuli/fractals/7c.jpg,0.390625,0.1388888888888889,8.0,ERP,stimuli/fractals/7c.jpg,0.390625,0.1388888888888889,stimuli/fractals/7c.jpg,stimuli/fractals/7b.jpg,stimuli/fractals/7a.jpg,0.390625,0.1388888888888889,0.390625,-0.1388888888888889,0.390625,0.4166666666666667,-0.234375,0.4166666666666667,,,,,1,0,1,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.70300609999958,None,116.70300609999958,None,c,3.560267400000157,116.70300609999958,None,116.70300609999958,None,116.70300609999958,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.317931300000055,,,120.68624089999958,None,22.100081100000352,22.116167099999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.834940099999585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.199979099999837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.58495740000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.949993000000177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29987280000023,,,,,,,122.20287120000012,None,122.20287120000012,None,None,122.20287120000012,None,122.20287120000012,None,122.20287120000012,None,24.119162300000426,24.13312020000012,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.649586499999714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.98477660000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.717685900000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.066617000000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
10,2000,None,1,OBJ,FOIL,stimuli/fractals/68c.jpg,-0.078125,-0.4166666666666667,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.349872499999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
