TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,TASK,enc_full_practice.thisRepN,enc_full_practice.thisTrialN,enc_full_practice.thisN,enc_full_practice.thisIndex,rec_full_practice.thisRepN,rec_full_practice.thisTrialN,rec_full_practice.thisN,rec_full_practice.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,welcome_image.started,welcome_image.stopped,welcome_text.started,welcome_text.stopped,general_instructions_text.started,general_instructions_text.stopped,general_instructions_key.keys,general_instructions_key.rt,general_instructions_key.started,general_instructions_key.stopped,general_instructions_continue.started,general_instructions_continue.stopped,general_instructions_4_key.keys,general_instructions_4_key.rt,general_instructions_4_key.started,general_instructions_4_key.stopped,general_instructions_4_continue.started,general_instructions_4_continue.stopped,general_instructions_4_text.started,general_instructions_4_text.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior_practice.started,enc_fx_interior_practice.stopped,enc_fx_cross_practice.started,enc_fx_cross_practice.stopped,enc_fx_key_practice.keys,enc_fx_key_practice.started,enc_fx_key_practice.stopped,enc_fx_text_block_practice.started,enc_fx_text_block_practice.stopped,enc_fx_instructions_text_practice.started,enc_fx_instructions_text_practice.stopped,enc_trial_interior_practice.started,enc_trial_interior_practice.stopped,enc_trial_main_image_practice.started,enc_trial_main_image_practice.stopped,enc_trial_key_practice.keys,enc_trial_key_practice.started,enc_trial_key_practice.stopped,enc_trial_text_block_practice.started,enc_trial_text_block_practice.stopped,enc_trial_instructions_text_practice.started,enc_trial_instructions_text_practice.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_feedback_block.started,enc_practice_feedback_block.stopped,start_recognition_text.started,start_recognition_text.stopped,block_title_text.started,block_title_text.stopped,rec_fx_interior_practice.started,rec_fx_interior_practice.stopped,rec_fx_cross_practice.started,rec_fx_cross_practice.stopped,rec_fx_key_practice.keys,rec_fx_key_practice.started,rec_fx_key_practice.stopped,rec_fx_text_block_practice.started,rec_fx_text_block_practice.stopped,rec_fx_instructions_text_practice.started,rec_fx_instructions_text_practice.stopped,rec_trial_interior_practice.started,rec_trial_interior_practice.stopped,rec_trial_main_image_practice.started,rec_trial_main_image_practice.stopped,rec_trial_key_practice.keys,rec_trial_key_practice.started,rec_trial_key_practice.stopped,rec_trial_text_block_practice.started,rec_trial_text_block_practice.stopped,rec_trial_instructions_text_practice.started,rec_trial_instructions_text_practice.stopped,rec_practice_feedback_text.started,rec_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,coming_up_next_text.started,coming_up_next_text.stopped,wait_for_last_scan_text.started,wait_for_last_scan_text.stopped,wait_for_last_scan_continue.keys,wait_for_last_scan_continue.rt,wait_for_last_scan_continue.started,wait_for_last_scan_continue.stopped,trigger_time,start_MR_text.started,start_MR_text.stopped,MR_trigger.keys,MR_trigger.rt,MR_trigger.started,MR_trigger.stopped,start_enc_run_text.started,start_enc_run_text.stopped,encoding_title_text.started,encoding_title_text.stopped,start_rec_block_text.started,start_rec_block_text.stopped,encoding_baseline_interior.started,encoding_baseline_interior.stopped,encoding_baseline_text_block.started,encoding_baseline_text_block.stopped,encoding_baseline_instructions_text.started,encoding_baseline_instructions_text.stopped,enc_loop_start_time,enc_fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_text_block.started,enc_fx_text_block.stopped,enc_fx_instructions_text.started,enc_fx_instructions_text.stopped,enc_trial_start_time,enc_stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_trial_text_block.started,enc_trial_text_block.stopped,enc_trial_instructions_text.started,enc_trial_instructions_text.stopped,ID,Session,Stimuli Table,Practice,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03132025618106127,None,0.03132025618106127,None,3.019354394171387,None,d,9.748695128131658,7.999441345687956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.999448773916811,None,d,13.358462027506903,18.749574733665213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
1,800,1,1,OBJ,LURE,1,1,stimuli/fractals/177c.jpg,0.078125,-0.41666666700000005,stimuli/fractals/170a.jpg,stimuli/fractals/170b.jpg,stimuli/fractals/170c.jpg,0.078125,-0.41666666700000005,-0.078125,-0.41666666700000005,0.234375,-0.41666666700000005,-0.390625,0.13888888900000002,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,18.749574733665213,None,17.76625701249577,None,32.13248615595512,None,38.098822419997305,None,38.098822419997305,None,None,38.098822419997305,None,38.098822419997305,None,38.098822419997305,None,42.11112280841917,None,42.11112280841917,None,None,42.11112280841917,None,42.11112280841917,None,42.11112280841917,None,45.11541684065014,None,45.11541684065014,None,45.11541684065014,None,45.11541684065014,None,46.1153182242997,None,48.615285565843806,None,50.143791161244735,None,50.143791161244735,None,None,50.143791161244735,None,50.143791161244735,None,50.143791161244735,None,50.98697369359434,None,50.98697369359434,None,None,50.98697369359434,None,50.98697369359434,None,50.98697369359434,None,54.96523534832522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
2,4000,1,1,OBJ,TARGET,1,1,stimuli/fractals/178a.jpg,0.390625,0.41666666700000005,stimuli/fractals/171a.jpg,stimuli/fractals/171b.jpg,stimuli/fractals/171c.jpg,0.390625,0.41666666700000005,0.234375,0.41666666700000005,0.390625,0.13888888900000002,-0.234375,0.13888888900000002,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.965285040671006,None,56.965285040671006,None,None,56.965285040671006,None,56.965285040671006,None,56.965285040671006,None,60.96515184477903,None,60.96515184477903,None,None,60.96515184477903,None,60.96515184477903,None,60.96515184477903,None,64.96513621974736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.96506680431776,None,d,67.19080394762568,67.948382220231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
1,500,1,1,OBJ,ERP,1,6,stimuli/fractals/3c.jpg,0.376897355721593,0.0513077905058119,stimuli/fractals/3c.jpg,stimuli/fractals/3a.jpg,stimuli/fractals/3b.jpg,0.376897355721593,0.0513077905058119,0.182213392677702,-0.36440205954632393,0.30363366638760303,-0.37654943267435104,-0.21385133123199201,0.34437961361303193,ENC,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.948382220231,None,66.96506680431776,None,135.2195061352104,None,space,92.37173577118665,136.2147648721002,None,239.1149196610786,228.61331708356738,None,s,10.484965636627749,228.61331708356738,None,239.13008068874478,None,241.13009042222984,None,243.13329685828649,None,244.6307101675775,None,244.6307101675775,None,244.6307101675775,None,15.559862992726266,15.566784570692107,254.6801284214016,None,254.6801284214016,None,None,254.6801284214016,None,254.6801284214016,None,254.6801284214016,None,16.085571729578078,16.094745599664748,255.2084498477634,None,255.2084498477634,None,None,255.2084498477634,None,255.2084498477634,None,255.2084498477634,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
2,3000,1,1,OBJ,OLP,1,4,stimuli/fractals/136a.jpg,0.0846478024186574,0.176247697779993,stimuli/fractals/136a.jpg,stimuli/fractals/136b.jpg,stimuli/fractals/136c.jpg,0.0846478024186574,0.176247697779993,0.27881536208095503,0.0111399149554564,0.282515861559336,-0.19795591034362198,-0.382647246154026,-0.161403316080168,ENC,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.082883476978168,258.1960692855064,None,258.1960692855064,None,None,258.1960692855064,None,258.1960692855064,None,258.1960692855064,None,22.09214520524256,22.09902631212026,261.2121186275035,None,261.2121186275035,None,None,261.2121186275035,None,261.2121186275035,None,261.2121186275035,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
3,3000,1,1,OBJ,ERP,1,5,stimuli/fractals/14c.jpg,-0.20591339026794103,0.156377605633925,stimuli/fractals/14c.jpg,stimuli/fractals/14b.jpg,stimuli/fractals/14a.jpg,-0.20591339026794103,0.156377605633925,-0.36194841734001504,-0.338630657507241,-0.128003571669689,-0.35038629997911797,0.330339150084164,0.0561419981062496,ENC,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.099240706302226,264.21262246672995,None,264.21262246672995,None,None,264.21262246672995,None,264.21262246672995,None,264.21262246672995,None,28.10764767532237,28.114325914764777,267.2277189453598,None,267.2277189453598,None,None,267.2277189453598,None,267.2277189453598,None,267.2277189453598,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
4,2000,1,1,OBJ,OLP,1,6,stimuli/fractals/122c.jpg,0.269051094819113,0.000287426531222408,stimuli/fractals/122c.jpg,stimuli/fractals/122b.jpg,stimuli/fractals/122a.jpg,0.269051094819113,0.000287426531222408,0.307804810253768,-0.406703573446646,-0.0386388400685433,-0.0295717635171729,-0.37977273723814203,-0.29785786265235303,ENC,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.115463971393183,270.229167195037,None,270.229167195037,None,None,270.229167195037,None,270.229167195037,None,270.229167195037,None,33.11641094344668,33.12856942694634,272.2416007795837,None,272.2416007795837,None,None,272.2416007795837,None,272.2416007795837,None,272.2416007795837,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
5,6000,1,1,OBJ,BL,0,0,stimuli/fractals/132a.jpg,-0.152049014540115,0.402125424974986,stimuli/fractals/132a.jpg,stimuli/fractals/132b.jpg,stimuli/fractals/132c.jpg,-0.152049014540115,0.402125424974986,0.150226824551833,0.0446873918841893,0.0689434507199906,0.294584530699605,-0.316850799689957,-0.395129957365075,ENC,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.13270413619466,275.2458543404937,None,275.2458543404937,None,None,275.2458543404937,None,275.2458543404937,None,275.2458543404937,None,42.150444554397836,42.16204592050053,281.2751407972537,None,281.2751407972537,None,None,281.2751407972537,None,281.2751407972537,None,281.2751407972537,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
6,1000,1,1,OBJ,OLP,1,3,stimuli/fractals/152b.jpg,-0.171501696761146,-0.234477489583464,stimuli/fractals/152b.jpg,stimuli/fractals/152c.jpg,stimuli/fractals/152a.jpg,-0.171501696761146,-0.234477489583464,-0.38370149765821004,-0.2789553365142,-0.0838737682204294,0.302835284626838,0.356007650522016,0.364581944091473,ENC,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.14913820964284,284.2624123885762,None,284.2624123885762,None,None,284.2624123885762,None,284.2624123885762,None,284.2624123885762,None,46.14557035150938,46.152183529688045,285.26562522817403,None,285.26562522817403,None,None,285.26562522817403,None,285.26562522817403,None,285.26562522817403,None,pilot,1,0,1,2021_Jun_10_1452,TérKépÉsz,2020.2.9,60.00862317207888,
